Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2019,12,,,PT Bank Perekonomian Rakyat Syariah Fajar Sejahtera Bali,Kab. Badung,Provinsi Bali,620026,13406862.0,827293.0,0.0,4825061.0,0.0,0.0,3907500.0,474020.0,0.0,0.0,0.0,209790.0,5244561.0,4418000.0,332694.0,24125.0,119436.0,0.0,0.0,10000.0,0.0,0.0,1289020.0,1688233.0,1665461.0,0.0,20581.0,50.0,5.0,,-1.0,103.0,92.0,37.0,50.0
2019,12,,,PT Bank Perekonomian Rakyat Syariah Muamalah Cilegon,Kota Cilegon,Provinsi Banten,620034,45824348.0,21246122.0,323072.0,1552456.0,288107.0,0.0,51980.0,2173017.0,0.0,0.0,0.0,21848898.0,1512943.0,12721400.0,208101.0,332214.0,111547.0,0.0,3100000.0,0.0,736533.0,0.0,5122952.0,6134186.0,4460596.0,32769.0,917457.0,41.64,6.09,,99.99,81.88,65.42,31.75,41.64
2019,12,,,PT. BPRS Cilegon Mandiri,Kota Cilegon,Provinsi Banten,620080,115986443.0,75545988.0,411137.0,8655607.0,214242.0,0.0,0.0,16633283.0,0.0,0.0,689900.0,6071868.0,16013833.0,27014369.0,485882.0,195748.0,450932.0,0.0,0.0,0.0,1090227.0,0.0,11844624.0,13652000.0,12920024.0,15449.0,437998.0,68.43,7.72,,0.6,96.06,206.63,11.69,68.43
2019,12,,,PT BPRS Harta Insan Karimah,Kota Tangerang,Provinsi Banten,620012,591900232.0,226220622.0,0.0,56780603.0,454238.0,0.0,12999342.0,140530169.0,0.0,0.0,2259000.0,24831122.0,70529563.0,394759644.0,1843032.0,7519648.0,1244307.0,0.0,26379086.0,0.0,9898928.0,0.0,41734176.0,81113057.0,36134319.0,186903.0,5216594.0,13.33,13.06,,1.34,83.17,84.61,11.44,13.33
2019,12,,,PT Bank Perekonomian Rakyat Syariah Musyarakah Ummat Indonesia,Kota Tangerang,Provinsi Banten,620007,17530098.0,9382861.0,0.0,3491424.0,110640.0,0.0,69100.0,603187.0,0.0,0.0,101555.0,973125.0,641068.0,8791174.0,74958.0,460258.0,21942.0,0.0,5625000.0,0.0,101709.0,0.0,1782270.0,3158680.0,1856165.0,0.0,77095.0,15.94,8.98,,0.53,94.2,131.3,31.2,15.94
2019,12,,,PT Bank Perekonomian Rakyat Syariah Rizky Barokah,Kota Tangerang Selatan,Provinsi Banten,620199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Muamalat Harkat,Kab. Seluma,Provinsi Bengkulu,620052,54970488.0,43583560.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6203911.0,14259366.0,19828500.0,242457.0,363126.0,65519.0,0.0,7263676.0,0.0,457366.0,0.0,6439029.0,8916904.0,5030368.0,49949.0,1533374.0,14.6,10.63,,4.23,71.63,81.21,25.8,14.6
2019,12,,,PT Bank Perekonomian Rakyat Syariah Fadhilah Kota Bengkulu (Perseroda),Kota Bengkulu,Provinsi Bengkulu,620184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Maslahat Dana Syariah Nusantara,Kota Bengkulu,Provinsi Bengkulu,620181,19014578.0,14226146.0,0.0,1455522.0,0.0,0.0,0.0,0.0,0.0,0.0,1775000.0,2527219.0,0.0,10967500.0,62274.0,1606703.0,136864.0,0.0,10690.0,0.0,32395.0,0.0,1415497.0,2355181.0,6187250.0,0.0,-504144.0,41.23,26.16,,-0.59,88.21,116.0,48.0,41.23
2019,12,,,PT. BPRS Safir,Kota Bengkulu,Provinsi Bengkulu,620090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Bangun Drajat Warga,Kab. Bantul,Provinsi D.I. Yogyakarta,620018,146653285.0,56919928.0,0.0,706379.0,0.0,56035.0,21262996.0,7147173.0,0.0,0.0,810181.0,70756046.0,25642435.0,26836995.0,527642.0,815287.0,64663.0,0.0,2024852.0,0.0,6744259.0,0.0,9117833.0,11382021.0,6070580.0,82680.0,2625507.0,34.17,7.49,,2.42,65.68,70.76,42.89,34.17
2019,12,,,PT Bank Perekonomian Rakyat Syariah Madina Mandiri Sejahtera,Kab. Bantul,Provinsi D.I. Yogyakarta,620118,85901668.0,65861900.0,0.0,1557817.0,0.0,0.0,3157763.0,5606529.0,0.0,0.0,855693.0,6181131.0,1664177.0,48489500.0,336522.0,975999.0,1594752.0,0.0,18779052.0,0.0,682722.0,0.0,6373502.0,12904713.0,5863502.0,0.0,2832871.0,21.0,10.5,,3.65,90.35,99.32,43.56,21.0
2019,12,,,PT Bank Perekonomian Rakyat Syariah Margirizki Bahagia,Kab. Bantul,Provinsi D.I. Yogyakarta,620017,58007818.0,19503033.0,0.0,0.0,0.0,0.0,37297.0,10748785.0,0.0,0.0,84200.0,7576694.0,5319000.0,29298250.0,275497.0,823177.0,23466.0,0.0,7608973.0,0.0,671012.0,0.0,3425551.0,6541644.0,2608569.0,0.0,1451646.0,22.26,13.12,,3.05,61.74,60.82,115.23,22.26
