Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,a. Kepada BPR,b. Kepada Bank Umum,c. Kepada non bank – pihak terkait,d. Kepada non bank – pihak tidak terkait,Kredit_Kepada_BPR,Kredit_Kepada_Bank_Umum,Kredit_Pihak_Terkait,Kredit_Pihak_Tidak_Terkait,Cadangan_Kerugian_Penurunan_Nilai,Jumlah_Kredit,Tabungan,Deposito,Total_Liabilitas,Laba_Tahun_Berjalan,Total_Ekuitas,Agunan_Yang_Diambil_Alih,Jumlah_Pendapatan_Bunga,Beban_Kerugian_Penurunan_Nilai,Jumlah_Pendapatan_Operasional,Jumlah_Beban_Operasional,Laba_Rugi_Berjalan,NPL_Neto,NPL_Gross,ROA,BOPO,NIM,LDR,KPMM,Cash_Ratio
2019,12,,,PT BPR Modern Express Papua Barat,Kab. Manokwari,Provinsi Papua Barat,602742,65658924.0,0.0,0.0,138384.0,58206860.0,0.0,0.0,138384.0,58206860.0,339613.0,58005631.0,2785862.0,41213779.0,58676695.0,1009266.0,6982229.0,0.0,8588946.0,0.0,8977984.0,8310972.0,1009266.0,0.26,0.0,1.86,92.19,0.0,90.23,16.73,14.87
2019,12,,,PT Bank Perekonomian Rakyat Mitra Pati Mandiri,Kab. Pati,Provinsi Jawa Tengah,601441,40360979.0,0.0,0.0,5439.0,30251016.0,0.0,0.0,5439.0,30251016.0,390711.0,29865744.0,6073640.0,13760084.0,34071759.0,1113892.0,6289220.0,268989.0,8260657.0,0.0,8571058.0,7169079.0,1391922.0,3.25,0.0,2.93,83.64,0.0,79.19,23.44,25.96
2019,12,,,PT Bank Perekonomian Rakyat Asabahana Sejahtera,Kab. Pati,Provinsi Jawa Tengah,601458,21306442.0,0.0,0.0,261134.0,17584075.0,0.0,0.0,261134.0,17584075.0,906271.0,16938938.0,7944688.0,4743600.0,15246902.0,771264.0,6059540.0,0.0,4150542.0,0.0,4403736.0,3568365.0,793456.0,12.88,0.0,4.08,81.17,0.0,86.83,51.45,11.42
2019,12,,,PT. BPR Juwana Artha Sentosa,Kab. Pati,Provinsi Jawa Tengah,601460,58190823.0,0.0,0.0,1510237.0,47577279.0,0.0,0.0,1510237.0,47577279.0,425022.0,48662494.0,9464370.0,30745398.0,50062658.0,551245.0,8128165.0,15000.0,9825886.0,0.0,10158408.0,9412098.0,675935.0,12.94,0.0,1.19,92.65,0.0,90.64,17.05,10.45
2019,12,,,PT BPR BKK Pati ( Perseroda ),Kab. Pati,Provinsi Jawa Tengah,601507,313030941.0,0.0,0.0,1256506.0,202942730.0,0.0,0.0,1256506.0,202942730.0,7504816.0,196694420.0,187600833.0,84865200.0,277856941.0,5334694.0,35174000.0,0.0,41730035.0,0.0,45795210.0,38543872.0,6977761.0,5.47,0.0,2.4,84.17,0.0,68.18,26.5,13.9
2019,12,,,PT. BPR Kusuma Arta Rini,Kab. Pati,Provinsi Jawa Tengah,602071,,,,,,,,,,,,,,,,,,2532354.0,0.0,2620402.0,2472064.0,152344.0,15.39,0.0,1.28,94.34,0.0,85.68,60.55,17.92
2019,12,,,PT Bank Perekonomian Rakyat Bank Daerah Pati (Perseroda),Kab. Pati,Provinsi Jawa Tengah,601879,363061118.0,0.0,0.0,879692.0,314346256.0,0.0,0.0,879692.0,314346256.0,5870321.0,309355627.0,119511587.0,131997901.0,308628689.0,8091883.0,54432429.0,0.0,48143268.0,0.0,49429177.0,38729284.0,10772978.0,1.61,0.0,2.99,78.35,0.0,90.03,21.31,15.38
2019,12,,,PT Bank Perekonomian Rakyat Sungkunandhana,Kab. Pati,Provinsi Jawa Tengah,601685,39978254.0,0.0,0.0,10975.0,35206789.0,0.0,0.0,10975.0,35206789.0,1159807.0,34057957.0,7294452.0,17985950.0,27552210.0,4839726.0,12426044.0,0.0,13052522.0,0.0,14524500.0,8523272.0,6094177.0,0.39,0.0,15.73,58.68,0.0,97.16,54.26,18.36
2019,12,,,PT Bank Perekonomian Rakyat Bank Daerah Kudus (Perseroda),Kab. Kudus,Provinsi Jawa Tengah,600547,73383912.0,0.0,0.0,902482.0,54258992.0,0.0,0.0,902482.0,54258992.0,2183178.0,52978296.0,12211465.0,27826702.0,53838290.0,764053.0,19545622.0,1872774.0,10278863.0,0.0,10782227.0,9697891.0,954988.0,21.51,0.0,1.27,89.91,0.0,80.99,41.48,16.93
2019,12,,,PT Bank Perekonomian Rakyat Catur Artha Jaya,Kab. Kudus,Provinsi Jawa Tengah,600875,69214278.0,0.0,0.0,522537.0,52430490.0,0.0,0.0,522537.0,52430490.0,1315813.0,51637214.0,9270342.0,50997325.0,61514717.0,1219357.0,7699561.0,98167.0,11492136.0,0.0,12800852.0,11195318.0,1530185.0,3.67,0.0,2.39,87.46,0.0,79.73,19.16,13.66
