Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Syariah Amanah Insani,620066
Provinsi Jawa Barat,Kab. Bogor,PT Bank Perekonomian Rakyat Syariah Amanah Ummah,620004
Provinsi Jawa Barat,Kab. Bogor,PT Bank Perekonomian Rakyat Syariah Botani Bina Rahmah,620061
Provinsi Jawa Barat,Kab. Bogor,PT. BPRS Rif'atul Ummah,620068
Provinsi Jawa Barat,Kab. Bogor,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Insan Cita,620069
Provinsi Jawa Barat,Kab. Bogor,PT BPRS Bogor Tegar Beriman,620177
Provinsi Jawa Barat,Kab. Cianjur,PT Bank Perekonomian Rakyat Syariah Gaido Indonesia,620043
Provinsi Jawa Barat,Kab. Bandung,PT Bank Perekonomian Rakyat Syariah Amanah Rabbaniah,620002
Provinsi Jawa Barat,Kab. Bandung,PT Bank Perekonomian Rakyat Syariah Almasoem,620027
Provinsi Jawa Barat,Kab. Bandung,PT Bank Perekonomian Rakyat Syariah Al Ihsan,620044
Provinsi Jawa Barat,Kab. Bandung,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Parahyangan,620054
Provinsi Jawa Barat,Kab. Garut,PT Bank Perekonomian Rakyat Syariah PNM Mentari,620008
Provinsi Jawa Barat,Kab. Garut,PT Bank Perekonomian Rakyat Syariah Harum Hikmahnugraha,620029
Provinsi Jawa Barat,Kab. Subang,PT. BPRS Gotong Royong,620172
Provinsi Jawa Barat,Kota Bandung,PT BPRS Berkah Amal Salman,620001
Provinsi Jawa Barat,Kota Bandung,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,620011
Provinsi Jawa Barat,Kota Bandung,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,620161
Provinsi Jawa Barat,Kota Bogor,PT BPRS Berkah Amal Salman,620001
Provinsi Jawa Barat,Kota Bogor,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,620011
Provinsi Jawa Barat,Kota Bogor,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,620161
Provinsi Jawa Barat,Kota Sukabumi,PT. BPRS Gotong Royong,620172
Provinsi Jawa Barat,Kota Tasikmalaya,PT Bank Perekonomian Rakyat Syariah Alwadiah,620037
Provinsi Jawa Barat,Kota Tasikmalaya,PT Bank Perekonomian Rakyat Syariah Almadinah Tasikmalaya Perseroda,620156
Provinsi Jawa Barat,Kota Cimahi,PT BPRS SHADIQ AMANAH,620019
Provinsi Jawa Barat,Kota Cimahi,PT Bank Perekonomian Rakyat Syariah Daarul Hayat,620035
Provinsi Jawa Barat,Kota Depok,PT Bank Perekonomian Rakyat Syariah Hasanah Mandiri,620006
Provinsi Jawa Barat,Kota Depok,PT Bank Perekonomian Rakyat Syariah Albarokah,620053
Provinsi Jawa Barat,Kota Depok,PT Bank Perekonomian Rakyat Syariah Alhijrah Amanah,620062
Provinsi Jawa Barat,Kota Depok,PT Bank Perekonomian Rakyat Syariah Alsalaam Amal Salman,620101
Provinsi Jawa Barat,Kota Bekasi,PT Bank Perekonomian Rakyat Syariah Riyal Irsyadi,620005
Provinsi Jawa Barat,Kota Bekasi,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Bekasi,620015
Provinsi Jawa Barat,Kota Bekasi,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Cibitung,620020
Provinsi Jawa Barat,Kota Bekasi,PT BANK PEREKONOMIAN RAKYAT ARTHA MADANI,620088
Provinsi Jawa Barat,Kota Bekasi,PT Bank Perekonomian Rakyat Syariah Patriot Bekasi Perseroda,620108
Provinsi Banten,Kota Cilegon,PT Bank Perekonomian Rakyat Syariah Muamalah Cilegon,620034
Provinsi Banten,Kota Cilegon,PT. BPRS Cilegon Mandiri,620080
Provinsi Banten,Kota Tangerang,PT Bank Perekonomian Rakyat Syariah Musyarakah Ummat Indonesia,620007
Provinsi Banten,Kota Tangerang,PT BPRS Harta Insan Karimah,620012
Provinsi Banten,Kota Tangerang Selatan,PT Bank Perekonomian Rakyat Syariah Rizky Barokah,620199
Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,PT BPRS Hidayah,620119
Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,PT Bank Perekonomian Rakyat Syariah Hijra Alami,620138
Provinsi D.I. Yogyakarta,Kab. Bantul,PT Bank Perekonomian Rakyat Syariah Margirizki Bahagia,620017
Provinsi D.I. Yogyakarta,Kab. Bantul,PT Bank Perekonomian Rakyat Syariah Bangun Drajat Warga,620018
Provinsi D.I. Yogyakarta,Kab. Bantul,PT Bank Perekonomian Rakyat Syariah Madina Mandiri Sejahtera,620118
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Mitra Amal Mulia,620117
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Danagung Syariah,620128
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Mitra Cahaya Indonesia,620133
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Formes Sleman,620136
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Cahaya Hidup,620163
Provinsi D.I. Yogyakarta,Kab. Sleman,PT Bank Perekonomian Rakyat Syariah Sleman (Perseroda),620193
Provinsi D.I. Yogyakarta,Kota Yogyakarta,PT Bank Perekonomian Rakyat Syariah Dana Hidayatullah,620107
Provinsi D.I. Yogyakarta,Kota Yogyakarta,PT Bank Perekonomian Rakyat Syariah Barokah Dana Sejahtera,620115
Provinsi D.I. Yogyakarta,Kota Yogyakarta,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Yogyakarta,620149
Provinsi D.I. Yogyakarta,Kota Yogyakarta,PT Bank Perekonomian Rakyat Syariah Unisia Insan Indonesia,620178
Provinsi Jawa Tengah,Kab. Semarang,PT Bank Perekonomian Rakyat Syariah Artha Amanah Ummat,620116
Provinsi Jawa Tengah,Kab. Kendal,PT. BPRS Asad Alif,620070
Provinsi Jawa Tengah,Kab. Grobogan,PT Bank Perekonomian Rakyat Syariah Gala Mitra Abadi,620063
Provinsi Jawa Tengah,Kab. Pati,PT. BPRS Artha Mas Abadi,620100
Provinsi Jawa Tengah,Kab. Kudus,PT BPRS Saka Dana Mulia,620167
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Syariah Bina Amanah Satria,620087
