Tahun,Bulan,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI,Latitude,Longitude
2010,12,PT Bank Perekonomian Rakyat Syariah Amanah Insani,Kab. Bekasi,Provinsi Jawa Barat,620066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.204349585324721,107.17320288461552
2010,12,PT Bank Perekonomian Rakyat Syariah Saruma Sejahtera Halmahera Selatan,Kab. Halmahera Selatan,Provinsi Maluku Utara,620182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Mandiri Mitra Sukses,Kab. Gresik,Provinsi Jawa Timur,620126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1749772829692935,112.65847748596217
2010,12,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Insan Cita,Kab. Bogor,Provinsi Jawa Barat,620069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.539331604489986,107.00639936483655
2010,12,PT Bank Perekonomian Rakyat Syariah Tulen Amanah,Kab. Lombok Tengah,Provinsi Nusa Tenggara Barat,620009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.70747522600701,116.25948057531416
2010,12,PT BPRS Bhakti Haji,Kab. Malang,Provinsi Jawa Timur,620048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.991553338452736,112.64203778122696
2010,12,PT Bank Perekonomian Rakyat Syariah Kabupaten Ngawi Perseroda,Kab. Ngawi,Provinsi Jawa Timur,620183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.420451120596442,111.441830004461
2010,12,PT BPRS Mojo Artho Kota Mojokerto Perseroda,Kota Mojokerto,Provinsi Jawa Timur,620160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.460555185064369,112.43110318032298
2010,12,PT Bank Perekonomian Rakyat Syariah Amanah Sejahtera,Kab. Gresik,Provinsi Jawa Timur,620050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.171206060982263,112.65347308804564
2010,12,PT Bank Perekonomian Rakyat Syariah Bumi Rinjani Kepanjen,Kab. Malang,Provinsi Jawa Timur,620106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.986689742538544,112.63775505887186
2010,12,PT Bank Perekonomian Rakyat Syariah Al Ihsan,Kab. Bandung,Provinsi Jawa Barat,620044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.971851712893827,107.5425031409888
2010,12,PT BPRS Bumi Rinjani Malang,Kota Malang,Provinsi Jawa Timur,620078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.974100981138048,112.64136686861058
2010,12,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Parahyangan,Kab. Bandung,Provinsi Jawa Barat,620054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.965455511896712,107.55659356508802
2010,12,PT Bank Perekonomian Rakyat Syariah Hikmah Khazanah,Kota Surakarta/Solo,Provinsi Jawa Tengah,620171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.578734267499703,110.8209373266183
2010,12,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Malang,Kota Malang,Provinsi Jawa Timur,620153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.984781410422721,112.62624122586716
