Nama Bank,Provinsi,Kabupaten/Kota,Jenis,Latitude,Longitude
PT Bank Perekonomian Rakyat Cikarang Raharja,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2584032,107.1336666
PT Bank Perekonomian Rakyat Dana Multi Guna,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.249312,107.1556541
PT. BPR Siwa Raharja Utama,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2675266,107.1271288
PT Bank Perekonomian Rakyat Binadana Makmur,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2647617,107.0548284
PT Bank Perekonomian Rakyat Sentral Mandiri,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2795851,106.9108747
PT Bank Perekonomian Rakyat Antar Guna,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2638911,107.0523962
PT Bank Perekonomian Rakyat Artha Sentana Hardja,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2782804,106.9107089
PT Bank Perekonomian Rakyat Karya Kurniautama,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3185767,107.1335439
PT. BPR Artaprima Danajasa,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.271834,107.0464293
PT Bank Perekonomian Rakyat Olympindo Primadana,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2712604,106.9092317
PD. BPR LPK Cibitung,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.331167,107.0393225
PD. BPR LPK Sukatani,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.249604,107.027521
PD. BPR LPK Setu,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.331167,107.0393225
PD. BPR LPK Cibarusah,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.331167,107.0393225
PD. BPR LPK Pondok Gede,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.331167,107.0393225
PT. BPR Wibawa Mukti Jabar,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2193948,106.9705187
PT Bank Perekonomian Rakyat Talabumi Ekapersada,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3111487,107.173465
PT Bank Perekonomian Rakyat Prabu Mitra,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2525046,107.0288638
PT. BPR Arthamutiara Permai,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT Bank Perekonomian Rakyat Usaha Rakyat,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2668786,107.0765189
PT. BPR Sekar,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3381924,107.1196835
PT Bank Perekonomian Rakyat Artha Sarana Abadi,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.245838,106.9897588
PT. BPR Trisurya Binaartha,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2931124,107.0717569
PT Bank Perekonomian Rakyat Cakradana Tirtamas Reksa,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2540071,106.9144362
PT Bank Perekonomian Rakyat Prismaberlian Danarta,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.1763582,106.6401428
PT Bank Perekonomian Rakyat Gracia Mandiri,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2619821,107.0206217
PT. BPR Citra Artha Sedana,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2479081,107.1504434
PT Bank Perekonomian Rakyat Harapan Saudara,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2630297,107.0610166
PT Bank Perekonomian Rakyat Parasahabat Bekasi,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PT Bank Perekonomian Rakyat Prima Nusatama,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2158956,107.0744788
PT Bank Perekonomian Rakyat Harta Tanamas,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2614687,107.018709
PT Bank Perekonomian Rakyat Handalan Danagraha,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2274566,107.0023929
PT. BPR Sinarenam Permai Jatiasih,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2391953,106.9837035
PT BPR BOJONEGORO SURYAPERSADA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.7489372,106.9247138
PT BPR INTI DAYA MASYARAKAT,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2098677,106.8135004
PD BPR Banyuresmi,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2510913,107.0152827
PD BPR Cadasngampar,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Cibatu,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3185767,107.1335439
PD BPR Cilawu,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.1763582,106.6401428
PD BPR Conggeang,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Pakenjang,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2546772,106.5418182
PD BPR Situraja,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2675266,107.1271288
PD BPR Sumedang Utara,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.9315827,107.7760701
PD BPR Sumedang Selatan,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.9315827,107.7760701
PD BPR Tanjungkerta,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Wanaraja,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Majalengka,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.8021026,108.1740272
PD BPR Talaga,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Argapura,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.287015,107.0398616
PD BPR Cibingbin,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Ciledug,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.226846,106.7125776
PD BPR Cilimus,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.5956053,107.1567447
PD BPR Ciniru,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Ciwaru,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Dawuan,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Indramayu,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3633607,108.2874323
PD BPR Jalaksana,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PD BPR Jatibarang,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.1763582,106.6401428
PD BPR Jatiwangi,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Lelea,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Lemahsugih,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2675266,107.1271288
PD BPR Losari,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PD BPR Luragung,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.6320236,107.2400175
PD BPR Maja,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2481109,106.9842622
PD BPR Subang,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.5599385,107.7646046
PD BPR Sumberjaya,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2663567,107.0779818
PT BPR LINGGARTI MAKMUR,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
PT BD ARTHA SARI SEDANA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.245838,106.9897588
PT BD. BALI RESPATI,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-7.4088844,106.0390434
MAI BP. CATUR KARYA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.273252,107.0544996
MAI BP. FAJAR HARAPAN BHUWANA JAYA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
MAI BP. KAMBOJA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
MAI BP. MAJURE,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.1127655,107.1451426
PT BPR MERTHA ADIBHUWANA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2663887,106.9967854
MAI BP. PARA SEMETON,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
MAI BP. PELITA KENCANA JA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR SARWA SEDANA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3194099,106.8321214
PT BPR BUMI WAHANA ARTHA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR CENTRALBHAKTI NIAGATAMA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR SATRIA PERTIWI,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR SARI DANA MERTA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR REJEKI MURAH BINAGUNA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR ARTHAKUTAMAS,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.5343933,106.9855828
PT BPR Gunung Barisan,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR Cikupa Jaya,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2340809,106.5085877
PT BPR Artha Mitra Dhananugraha,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2521453,107.0092113
PT BP TRIDAYA BHAKTI,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR MITRA PEMBANGUNAN,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2770275,106.9707018
PT BPR ARTHAMAS MITRASEJATI,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2527921,106.9766806
PT BPR Bintang Rahardjo,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2594621,107.0633977
PT BPR DARMAGA RAYA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR Rizki Makmur,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2504911,107.0249053
PT BPR MULTIJAYA ARTAPRIMA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2711616,106.72919
PT BPR Roda Mekar Jaya,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2193948,106.9705187
PT. BPR MITRAKARYA ARTAMULIA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2543757,106.9870061
PT BPR Dana Pratama Maju,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR MITRA PERDAGANGAN,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR DANA KITA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR INDRA ARTHA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR INTI EKONOMI,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR ADIDHANA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
PT BPR Diana Sapta Surya,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.249043,106.935584
PT BPR PRAWITASARANA UTAMA,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2386172,106.7089556
BKPD Batujaya,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3126485,107.1049113
BKPD Cikampek,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2388071,106.7913684
BKPD Klari,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3177751,107.1977022
BKPD Lemahabang Wadas,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3257082,107.1485343
BKPD Pangkalan,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.3643811,107.1698137
BKPD Pedes,Provinsi Jawa Barat,Kab. Bekasi,Konvensional,-6.2381989,106.5440989
