Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,a. Kepada BPR,b. Kepada Bank Umum,c. Kepada non bank – pihak terkait,d. Kepada non bank – pihak tidak terkait,Cadangan_Kerugian_Penurunan_Nilai,Jumlah_Kredit,Tabungan,Deposito,Total_Liabilitas,Laba_tahun_berjalan,Total_Ekuitas,Agunan_yang_Diambil_Alih,Jumlah_Pendapatan_Bunga,Jumlah_Pendapatan_Operasional,Jumlah_Beban_Operasional,Laba_Rugi_Operasional,NPL_Gross,NPL_Neto,ROA,BOPO,NIM,LDR,KPMM,Cash_Ratio
2010,12,,,PT Bank Perekonomian Rakyat Cikarang Raharja,Kab. Bekasi,Provinsi Jawa Barat,600007,28995036.0,2688563.0,7518118.0,130000.0,16488183.0,579550.0,26824864.0,0.0,0.0,0.0,-605372.0,728507.0,0.0,4977013.0,5793739.0,6330019.0,-605372.0,,,,,,,,
2010,12,,,PT BPR Fajar Artha Makmur,Kota Depok,Provinsi Jawa Barat,601996,2924377.0,5654.0,1026245.0,0.0,1748520.0,37391.0,2780419.0,0.0,0.0,0.0,-806728.0,2369320.0,0.0,398541.0,595424.0,1399621.0,-806728.0,,,,,,,,
2010,12,,,PT. BPR Tahap Ganda,Kota Prabumulih,Provinsi Sumatera Selatan,601954,15347061.0,150000.0,2909202.0,0.0,10875266.0,165467.0,13934468.0,0.0,0.0,0.0,763887.0,1968154.0,0.0,4499101.0,5187774.0,4260669.0,943317.0,,,,,,,,
2010,12,,,PT BANK PEREKONOMIAN RAKYAT APTA SEJAHTERA,Kota Depok,Provinsi Jawa Barat,602003,4707145.0,500000.0,407600.0,0.0,3661969.0,30139.0,4569569.0,0.0,0.0,0.0,179871.0,8179871.0,0.0,895889.0,1144272.0,928564.0,205567.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Sindang Binaharta,Kota Lubuklinggau,Provinsi Sumatera Selatan,601998,12116634.0,1000000.0,2697484.0,349357.0,7699706.0,168422.0,11746547.0,0.0,0.0,0.0,1033398.0,11457369.0,0.0,2732512.0,2949217.0,1773807.0,1183945.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Brata Bhakti Sejahtera,Kota Depok,Provinsi Jawa Barat,602004,24044140.0,0.0,715146.0,73439.0,22443273.0,466076.0,23231858.0,0.0,0.0,0.0,450325.0,13450325.0,0.0,3139032.0,3536252.0,3069167.0,514657.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Berkat Sejati,Kota Palembang,Provinsi Sumatera Selatan,602752,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Nusantara Bona Pasogit Sembilan Belas,Kota Depok,Provinsi Jawa Barat,602031,22262482.0,2450688.0,4782281.0,50841.0,14281753.0,239984.0,21565563.0,0.0,0.0,0.0,1295476.0,15295476.0,0.0,5563010.0,6178695.0,4649249.0,1533239.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Palembang,Kota Palembang,Provinsi Sumatera Selatan,602731,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Siraya Karya Bakti,Kota Bekasi,Provinsi Jawa Barat,600016,3393863.0,12702.0,807624.0,129835.0,2422256.0,60057.0,3372417.0,0.0,0.0,0.0,151574.0,2751574.0,0.0,877937.0,964488.0,782558.0,173227.0,,,,,,,,
