Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2024,12,,,PT. BPRS Rif'atul Ummah,Kab. Bogor,Provinsi Jawa Barat,620068,29024453501.0,6896778281.0,0.0,11754084120.0,425389821.0,0.0,0.0,4721214569.0,0.0,0.0,162785798.0,9119747374.0,8.0,5949764279.0,0.0,1110767249.0,306685368.0,0.0,7700145459.0,475000000.0,197988262.0,0.0,1304489990.0,1572524516.0,3278646400.0,0.0,-1710971060.0,36.82,20.74,25.4,-5.89,197.42,104.51,10.2,36.82
2024,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Insani,Kab. Bekasi,Provinsi Jawa Barat,620066,70879244336.0,48374439107.0,0.0,848250000.0,540310535.0,0.0,3137174692.0,0.0,0.0,0.0,0.0,18564740898.0,0.0,32790717660.0,0.0,1188718935.0,43123161.0,0.0,0.0,0.0,1019371386.0,0.0,7573950170.0,9869527332.0,8313598392.0,451398691.0,1323343389.0,72.94,21.38,23.17,1.62,89.24,103.01,24.25,72.94
2024,12,,,PT Bank Perekonomian Rakyat Syariah Botani Bina Rahmah,Kab. Bogor,Provinsi Jawa Barat,620061,142188559854.0,77775930697.0,180408024.0,20221094173.0,790197370.0,1526149.0,0.0,20879031073.0,0.0,0.0,2130750225.0,15976123938.0,25071129.0,38174531680.0,0.0,3361618267.0,1063167413.0,0.0,71728914388.0,520027380.0,1773632494.0,0.0,9340325830.0,16214353769.0,8782327368.0,0.0,2438850235.0,20.36,0.01,2.66,1.75,76.37,95.31,8.52,20.36
2024,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Rabbaniah,Kab. Bandung,Provinsi Jawa Barat,620002,154176707307.0,89464843810.0,0.0,6399297053.0,4658434900.0,0.0,0.0,3689273735.0,0.0,0.0,0.0,45640733840.0,6782550094.0,63932063210.0,0.0,2967931387.0,1027460796.0,0.0,10750000000.0,9271961999.0,2181387998.0,0.0,15462955354.0,22257337048.0,13677871907.0,144000000.0,3735340517.0,19.85,2.43,4.79,3.29,88.69,75.33,21.36,19.85
2024,12,,,PT Bank Perekonomian Rakyat Syariah Gaido Indonesia,Kab. Cianjur,Provinsi Jawa Barat,620043,35623911462.0,25813061963.0,0.0,1780364999.0,0.0,0.0,163891331.0,907456140.0,0.0,0.0,0.0,7704731556.0,2383111284.0,6606000000.0,0.0,514791868.0,178333079.0,0.0,15350000000.0,1954777214.0,0.0,0.0,2321675079.0,4632533858.0,4380188175.0,0.0,-1669245589.0,5.7,6.5,7.95,-4.69,133.7,86.62,28.26,5.7
2024,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Ummah,Kab. Bogor,Provinsi Jawa Barat,620004,530816012390.0,261371905751.0,24804826965.0,195248853.0,5098765456.0,871756822.0,0.0,54349573258.0,0.0,0.0,0.0,246999698986.0,16499708842.0,219578346926.0,0.0,8267682335.0,5229238507.0,0.0,2219905837.0,0.0,1363083789.0,0.0,43419816972.0,58688698095.0,33458682086.0,924000000.0,8840436829.0,18.91,1.42,3.63,2.39,79.8,71.96,27.32,18.91
2024,12,,,PT BPRS Bogor Tegar Beriman,Kab. Bogor,Provinsi Jawa Barat,620177,207788955453.0,152230509971.0,357494160.0,12803839182.0,0.0,0.0,0.0,34775421009.0,0.0,0.0,1082046753.0,11019122148.0,3098902400.0,55632261167.0,0.0,16481444114.0,573218243.0,0.0,33414000000.0,87745284344.0,3003915874.0,0.0,23057495240.0,30412468309.0,34805915476.0,0.0,-9872135659.0,11.69,7.17,14.95,-5.06,136.36,286.98,62.31,11.69
2024,12,,,PT. BPRS Gotong Royong,Kab. Subang,Provinsi Jawa Barat,620172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,,,PT BPRS Berkah Amal Salman,Kota Bandung,Provinsi Jawa Barat,620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Insan Cita,Kab. Bogor,Provinsi Jawa Barat,620069,293426511362.0,223938585691.0,0.0,2790842132.0,479616560.0,0.0,2142860468.0,19570506877.0,0.0,0.0,127029499.0,20982396067.0,8572012098.0,144086834788.0,0.0,2697166568.0,1353186129.0,0.0,64941842062.0,33180471745.0,998370014.0,0.0,19955781610.0,38264345081.0,23191904702.0,0.0,1940873949.0,14.85,2.06,2.68,0.91,93.61,91.6,9.55,14.85
