Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Cikarang Raharja,600007
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Dana Multi Guna,600036
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Siwa Raharja Utama,600070
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Binadana Makmur,600098
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Sentral Mandiri,600103
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Antar Guna,600108
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Artha Sentana Hardja,600131
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Karya Kurniautama,600135
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Artaprima Danajasa,600137
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Olympindo Primadana,600139
Provinsi Jawa Barat,Kab. Bekasi,PD. BPR LPK Cibitung,600335
Provinsi Jawa Barat,Kab. Bekasi,PD. BPR LPK Sukatani,600337
Provinsi Jawa Barat,Kab. Bekasi,PD. BPR LPK Setu,600338
Provinsi Jawa Barat,Kab. Bekasi,PD. BPR LPK Cibarusah,600339
Provinsi Jawa Barat,Kab. Bekasi,PD. BPR LPK Pondok Gede,600341
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Wibawa Mukti Jabar,600342
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Talabumi Ekapersada,601235
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Prabu Mitra,601257
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Arthamutiara Permai,601264
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Usaha Rakyat,601274
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Sekar,601278
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Artha Sarana Abadi,601279
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Trisurya Binaartha,601294
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Cakradana Tirtamas Reksa,601307
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Prismaberlian Danarta,601315
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Gracia Mandiri,601319
Provinsi Jawa Barat,Kab. Bekasi,PT. BPR Citra Artha Sedana,601465
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Harapan Saudara,601793
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Parasahabat Bekasi,601888
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Prima Nusatama,601978
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Harta Tanamas,602001
Provinsi Jawa Barat,Kab. Bekasi,PT Bank Perekonomian Rakyat Handalan Danagraha,602010
