risk_decile,observations,average_probability,deterioration_rate,captured_events,lift
1,835,0.5884820119899626,0.5473053892215569,457,1.821217174121593
2,833,0.42947140130529626,0.4069627851140456,339,1.354212160293602
3,832,0.34943969074973535,0.39302884615384615,327,1.307845489259043
4,831,0.2910161845575168,0.3345367027677497,278,1.1132066309838542
5,832,0.2446257673012872,0.3016826923076923,251,1.0038814000122929
6,834,0.20643216651582583,0.27697841726618705,231,0.9216752846224817
7,831,0.17422963526090296,0.2009626955475331,167,0.6687248466701571
8,832,0.14411605369827513,0.23076923076923078,192,0.7679092780970528
9,833,0.11269010565911114,0.17767106842737096,148,0.5912194682107761
10,836,0.07686803424160987,0.13516746411483255,113,0.4497841824260648
