,mean_absolute_probability_contribution
NPL_Neto,0.04710403434767157
provision_to_loans,0.018406301424733762
ROA,0.017897118022490235
loan_growth_1y,0.017318315686363613
loans_to_deposits_calc,0.016537256017764495
npl_net_slope_3y,0.016138326199399762
BOPO,0.015037174074432096
roa_vs_history,0.014818959736082958
deposit_share,0.014520937419345273
KPMM,0.014496806089675535
bopo_slope_3y,0.013911769934937536
delta_npl_net_1y,0.011730721052975417
kpmm_slope_3y,0.009070354373159253
delta_roa_1y,0.008829778152702436
npl_net_vs_history,0.008435622585732655
equity_to_assets,0.00790245030212307
LDR,0.006005802445778241
delta_kpmm_1y,0.005715967876007469
delta_ldr_1y,0.0056668864469332685
delta_bopo_1y,0.004447468453246944
log_assets,0.00441754542686905
Cash_Ratio,0.004252893693741256
roa_slope_3y,0.003692750886310849
deposit_growth_1y,0.0029449008606299157
log_loans,0.0029353010291061046
asset_growth_1y,0.002684545324855718
loan_minus_deposit_growth,0.0010860998483656148
